formula,spacegroup,ref_gap,mp_pbe_gap,c_lo,gap_lo,c_hi,gap_hi,dGap_dc,c_star,fit_r2,n_species,natoms,volume_per_atom,density,mean_electroneg,electroneg_spread,mean_Z,max_Z,mean_row,valence_e_per_atom,grad_ratio,c_selfconsistent,pbe_gap,band_center,qc,qc_pass
GaN,P6_3mc,3.4,1.7375999999999996,1.2,2.6974,1.7,4.0707,2.7466,1.4558,1.0000,2,4,11.3412075821295,6.129701659979298 g cm^-3,2.425,1.23,19.0,31.0,3.0,19.0,3.193327971676552,1.3178356237298858,1.7375999999999996,-3.4099,clean,1
GaP,F-43m,2.26,1.5917000000000003,1.2,2.3219,1.7,4.0542,3.4645,1.1821,1.0000,2,2,20.0856518168393,4.1624466237370745 g cm^-3,2.0,0.3799999999999999,23.0,31.0,3.5,23.0,2.4808703686137457,1.160136624437429,1.5917000000000003,-3.3319,clean,1
GaAs,F-43m,1.42,0.1839000000000004,1.2,1.4422,1.7,3.4277,3.9709,1.1944,1.0000,2,2,22.697150577217347,5.291148954041463 g cm^-3,1.995,0.3700000000000001,32.0,33.0,4.0,32.0,2.388061762980591,1.138003011205888,0.1839000000000004,-3.1492,clean,1
GaSb,F-43m,0.73,0.0,1.2,0.9153,1.7,2.5822,3.3338,1.1444,1.0000,2,2,28.477938408943473,5.582654852394636 g cm^-3,1.93,0.23999999999999977,41.0,51.0,4.5,41.0,2.3347224030642018,1.1250873430624706,0.0,-2.8903,clean,1
InN,P6_3mc,0.7,0.0,1.2,0.5601,1.7,2.0778,3.0355,1.2461,1.0000,2,4,15.496807895026357,6.902016484365188 g cm^-3,2.41,1.26,28.0,49.0,3.5,28.0,2.914732759001348,1.258502638007743,0.0,-2.5848,clean,1
InP,F-43m,1.34,0.46640000000000015,1.2,1.5340,1.7,3.9192,4.7705,1.1593,1.0000,2,2,25.401890499959684,4.765253916629425 g cm^-3,1.9849999999999999,0.4099999999999999,32.0,49.0,4.0,32.0,2.3975448508804367,1.140284102639593,0.46640000000000015,-2.8282,clean,1
InAs,F-43m,0.35,0.0,1.2,0.4928,1.7,2.8268,4.6679,1.1694,1.0000,2,2,28.25108334458342,5.57624665996155 g cm^-3,1.98,0.40000000000000013,41.0,49.0,4.5,41.0,2.3187531659987934,1.121191896145899,0.0,-2.505,clean,1
InSb,F-43m,0.17,0.0,1.2,0.3716,1.7,2.4866,4.2301,1.1523,1.0000,2,2,34.66944547990599,5.665608518685198 g cm^-3,1.915,0.2699999999999998,50.0,51.0,5.0,50.0,2.2334620658652264,1.1001554397598539,0.0,-2.4302,clean,1
ZnO,P6_3mc,3.37,0.7316,1.2,2.0537,1.7,3.6608,3.2142,1.6095,1.0000,2,4,11.849286226905404,5.704218210310881 g cm^-3,2.545,1.79,19.0,30.0,3.0,19.0,3.4229913996419565,1.3648261441151823,0.7316,-3.401,clean,1
ZnSe,F-43m,2.7,1.1687,1.2,2.5135,1.7,4.8900,4.7530,1.2392,1.0000,2,2,22.44478504826962,5.340446878649376 g cm^-3,2.0999999999999996,0.8999999999999999,32.0,34.0,4.0,32.0,2.794315463495301,1.231981486829313,1.1687,-2.9758,clean,1
ZnTe,F-43m,2.26,1.0782000000000003,1.2,2.3841,1.7,4.0523,3.3364,1.1628,1.0000,2,2,27.973225319973114,5.72867413462974 g cm^-3,1.875,0.4500000000000002,41.0,52.0,4.5,41.0,2.3959621251002226,1.1399037029072085,1.0782000000000003,-2.9029,clean,1
CdS,P6_3mc,2.42,1.1162,1.2,2.3175,1.7,4.9222,5.2093,1.2197,1.0000,2,4,24.856228137586523,4.82591406986893 g cm^-3,2.135,0.8900000000000001,32.0,48.0,4.0,32.0,3.0785443586916825,1.2937165473221324,1.1162,-2.5898,clean,1
CdSe,P6_3mc,1.74,0.5589,1.2,1.6691,1.7,4.2165,5.0948,1.2139,1.0000,2,4,28.293071968299394,5.615845145241915 g cm^-3,2.12,0.8599999999999999,41.0,48.0,4.5,41.0,2.704425792721251,1.2118092592730192,0.5589,-2.4672,clean,1
CdTe,F-43m,1.5,0.5867,1.2,1.6398,1.7,3.9746,4.6697,1.1701,1.0000,2,2,34.257543063916295,5.816932655826179 g cm^-3,1.895,0.41000000000000014,50.0,52.0,5.0,50.0,2.46671358855618,1.1567875134096945,0.5867,-2.4818,clean,1
MgO,Fm-3m,7.8,4.4292,1.2,6.0688,1.7,7.9467,3.7559,1.6609,1.0000,2,2,9.313946423735763,3.5928395822266843 g cm^-3,2.375,2.13,10.0,12.0,2.5,10.0,2.6266403730131005,1.1940810886184081,4.4292,-2.167,clean,1
CaO,Fm-3m,7.0,3.6363,1.2,4.5733,1.7,6.3431,3.5397,1.8856,1.0000,2,2,13.606434698284318,3.4218630933897956 g cm^-3,2.2199999999999998,2.44,14.0,20.0,3.0,14.0,3.1087133767552975,1.3000988083787046,3.6363,-1.5713,clean,1
TiO2,P4_2/mnm,3.0,1.7719,1.2,2.2020,1.7,3.1153,1.8266,1.6369,1.0000,2,6,10.368660668066383,4.263497643873105 g cm^-3,2.806666666666666,1.9,12.666666666666666,22.0,2.6666666666666665,12.666666666666666,3.2132526160211925,1.3219779009317163,1.7719,-3.1997,clean,1
SnO2,P4_2/mnm,3.6,0.6607000000000003,1.2,2.2321,1.7,4.4060,4.3479,1.5146,1.0000,2,6,12.202563638959248,6.836209654650091 g cm^-3,2.9466666666666663,1.48,21.999999999999996,50.0,3.0,22.0,3.12199308675567,1.3028983143242616,0.6607000000000003,-3.1085,clean,1
SrTiO3,Pm-3m,3.25,1.7658999999999998,1.2,2.3028,1.7,3.3659,2.1263,1.6455,1.0000,3,5,11.8435364135572,5.145158204506292 g cm^-3,2.5620000000000003,2.49,16.8,38.0,3.0,16.8,3.031432638411907,1.2836871784402557,1.7658999999999998,-2.709,clean,1
